,Homeownership Rate in the United States,Monthly Supply of Houses in the United States,US Population data,Median Sales Price of Houses Sold,GDP,Natural Rate of Unemployment,Consumer Price Index,House Price Index,10-Year Treasury
1988-09-30,64.0,6.566666666666666,245354.0,115000.0,5282.835,5.8492169999999994,124.10000000000001,154.16,0.6384375000000001
1988-12-31,63.8,6.666666666666667,245966.33333333334,113900.0,5399.509,5.830452442,125.60000000000001,155.6,0.24786885245901646
1989-03-31,63.9,7.3,246460.33333333334,118000.0,5511.253,5.811267376,126.93333333333334,157.41,-0.20672131147540987
1989-06-30,63.8,7.233333333333333,247017.33333333334,118900.0,5612.463,5.791787,128.3,159.57,-0.18515625000000005
1989-09-30,64.1,6.533333333333334,247698.33333333334,120000.0,5695.365,5.772135,129.53333333333333,162.96,0.021587301587301575
1989-12-31,63.8,6.833333333333333,248374.33333333334,124800.0,5747.237,5.752428532000001,131.1,164.31,0.05532258064516128
1990-03-31,64.0,7.466666666666666,248936.33333333334,123900.0,5872.701,5.7327650000000006,132.76666666666665,165.24,0.05903225806451615
1990-06-30,63.7,8.133333333333333,249711.0,126800.0,5960.028,5.71323061,134.5,165.94,0.10301587301587305
1990-09-30,64.0,8.133333333333333,250594.66666666666,117000.0,6015.116,5.6939024929999995,136.5,166.95,0.6025396825396826
1990-12-31,64.1,8.466666666666667,251481.66666666666,121500.0,6004.733,5.674851417999999,138.0666666666667,166.3,0.800161290322581
1991-03-31,63.9,8.200000000000001,252257.33333333334,120000.0,6035.178,5.656145573,140.06666666666666,167.68,0.987166666666667
1991-06-30,63.9,7.1000000000000005,253062.66666666666,119900.0,6126.862,5.6378379999999995,141.33333333333334,168.8,1.2314062499999998
1991-09-30,64.2,7.099999999999999,253965.33333333334,120000.0,6205.937,5.619961,142.86666666666667,169.11,1.4289062499999998
1991-12-31,64.2,6.366666666666667,254835.33333333334,120000.0,6264.54,5.6025339999999995,144.2,171.49,1.8412903225806447
1992-03-31,64.0,5.400000000000001,255585.0,119500.0,6363.102,5.585576533999999,145.46666666666667,172.81,2.013064516129033
1992-06-30,63.9,5.8999999999999995,256439.33333333334,120000.0,6470.763,5.569083999999999,146.73333333333335,172.77,2.1728571428571426
1992-09-30,64.3,5.166666666666667,257385.66666666666,120000.0,6566.641,5.553058999999999,147.86666666666667,174.74,2.4679687499999994
1992-12-31,64.4,5.166666666666667,258276.66666666666,126000.0,6680.803,5.537511,149.20000000000002,175.62,2.295645161290322
1993-03-31,64.2,5.366666666666667,259039.33333333334,125000.0,6729.459,5.522455,150.5,175.7,2.1250819672131147
1993-06-30,64.4,5.066666666666666,259826.0,127000.0,6808.939,5.50790453,151.76666666666668,177.38,1.9923809523809521
1993-09-30,64.7,5.233333333333333,260714.33333333334,127000.0,6882.098,5.493864536,152.66666666666666,178.81,1.6414062499999988
1993-12-31,64.6,4.766666666666667,261546.66666666666,127000.0,7013.738,5.480341434,153.86666666666667,180.29,1.5309677419354837
1994-03-31,63.8,5.233333333333333,262249.6666666667,130000.0,7115.652,5.467338562,154.86666666666667,181.42,1.5306451612903227
1994-06-30,63.8,5.566666666666666,263020.6666666667,130000.0,7246.931,5.454845,155.9333333333333,182.51,1.2627419354838707
1994-09-30,64.1,6.133333333333333,263870.0,129700.0,7331.075,5.442838,157.1,183.25,1.0948437500000003
1994-12-31,64.2,6.166666666666667,264678.3333333333,132000.0,7455.288,5.431291000000001,158.1,183.1,0.674590163934426
1995-03-31,64.2,6.966666666666666,265388.3333333333,130000.0,7522.289,5.420172,159.4333333333333,184.06,0.356774193548387
1995-06-30,64.7,6.266666666666667,266141.6666666667,133900.0,7580.997,5.409451485,160.73333333333335,187.09,0.46841269841269856
1995-09-30,65.0,6.0,267000.6666666667,132000.0,7683.125,5.399091,161.8,189.97,0.46761904761904755
1995-12-31,65.1,6.5,267820.3333333333,138000.0,7772.586,5.38905,162.9333333333333,191.44,0.3954838709677419
1996-03-31,65.1,5.966666666666666,268487.3333333333,137000.0,7868.468,5.379276,164.03333333333333,193.58,0.6403225806451613
1996-06-30,65.4,5.966666666666666,269251.3333333333,139900.0,8032.84,5.369709492,165.0,193.89,0.60328125
1996-09-30,65.6,5.3,270128.3333333333,140000.0,8131.408,5.360292435,166.06666666666666,194.76,0.6000000000000002
1996-12-31,65.4,5.266666666666667,270991.6666666667,144100.0,8259.771,5.350973606,167.13333333333333,196.28,0.5504838709677418
1997-03-31,65.4,4.433333333333333,271709.0,145000.0,8362.655,5.341696,168.1,197.91,0.5223333333333333
1997-06-30,65.7,4.566666666666667,272487.3333333333,145800.0,8518.825,5.332409382,169.16666666666666,199.54,0.42374999999999985
1997-09-30,66.0,4.3,273390.6666666667,145000.0,8662.823,5.32308054,169.9,202.25,0.3384375000000001
1997-12-31,65.7,4.2,274245.6666666667,144200.0,8765.907,5.31369,170.86666666666665,204.88,0.1717741935483871
1998-03-31,65.9,4.0,274950.0,152200.0,8866.48,5.304222,171.9,207.96,0.14131147540983616
1998-06-30,66.0,3.9,275703.3333333333,149500.0,8969.699,5.294664,172.86666666666665,209.82,0.034920634920634935
1998-09-30,66.8,4.066666666666666,276563.6666666667,153000.0,9121.097,5.285001,173.9,212.75,0.07125
1998-12-31,66.4,3.766666666666667,277400.0,153000.0,9293.991,5.275233,174.86666666666667,215.26,0.2856451612903224
1999-03-31,66.7,4.0,278103.3333333333,157400.0,9417.264,5.265363,175.63333333333333,217.53,0.13918032786885248
1999-06-30,66.6,3.9333333333333336,278863.6666666667,158700.0,9524.152,5.255394459,176.46666666666667,220.45,0.25703125000000004
1999-09-30,67.0,4.166666666666667,279751.0,159100.0,9681.856,5.245333672,177.4,223.57,0.250625
1999-12-31,66.9,4.266666666666667,280592.3333333333,165300.0,9899.378,5.235184669,178.4,225.87,0.1966129032258065
2000-03-31,67.1,4.3,281304.3333333333,165300.0,10002.857,5.224948,179.5666666666667,230.19,-0.057936507936507925
2000-06-30,67.2,4.533333333333334,282002.0,163200.0,10247.679,5.214622,180.70000000000002,233.95,-0.3877777777777778
2000-09-30,67.7,4.166666666666667,282768.6666666667,168800.0,10319.825,5.204211,181.9,238.21,-0.32714285714285724
2000-12-31,67.5,3.933333333333333,283518.6666666667,172900.0,10439.025,5.193731,183.0,241.86,-0.14838709677419357
2001-03-31,67.5,3.766666666666667,284168.6666666667,169800.0,10472.879,5.183196545,184.33333333333334,247.84,0.4640322580645161
2001-06-30,67.7,4.033333333333334,284837.3333333333,179000.0,10597.822,5.172613621,185.46666666666667,251.99,1.0844444444444443
2001-09-30,68.1,4.333333333333334,285583.3333333333,172500.0,10596.294,5.161983,186.73333333333335,255.91,1.3195081967213118
2001-12-31,68.0,4.066666666666666,286311.3333333333,171100.0,10660.294,5.151313,187.96666666666667,259.07,1.8950000000000002
2002-03-31,67.8,4.1,286935.0,188700.0,10788.952,5.1406154630000005,189.0,262.79,1.8786666666666663
2002-06-30,67.6,4.166666666666667,287574.0,187200.0,10893.207,5.129905,189.96666666666667,267.27,1.8721875000000001
2002-09-30,68.0,4.033333333333333,288302.6666666667,178100.0,10992.051,5.119209,190.9666666666667,272.57,2.033593749999999
2002-12-31,68.3,4.0,289006.6666666667,190100.0,11071.463,5.108561516,191.83333333333334,276.44,2.11516129032258
2003-03-31,68.0,4.2,289609.0,186000.0,11183.507,5.09799,192.46666666666667,279.8,2.2709836065573774
2003-06-30,68.0,3.8333333333333335,290252.6666666667,191800.0,11312.875,5.087525,192.79999999999998,283.22,2.199047619047619
2003-09-30,68.4,3.633333333333333,290974.0,191900.0,11567.326,5.077202,193.5666666666667,287.59,2.549375
2003-12-31,68.6,3.9666666666666663,291669.3333333333,198800.0,11769.275,5.067058563,194.0666666666667,295.74,2.4288709677419353
2004-03-31,68.6,3.6999999999999997,292236.6666666667,212700.0,11920.169,5.057126,195.0,300.38,2.323387096774193
2004-06-30,69.2,3.9,292875.3333333333,217600.0,12108.987,5.047432423,196.23333333333335,307.73,2.1424193548387103
2004-09-30,69.0,4.3,293603.3333333333,213500.0,12303.34,5.0380080000000005,197.0666666666667,319.46,1.7448437500000002
2004-12-31,69.2,4.1,294334.0,228800.0,12522.425,5.028878689,198.26666666666668,326.3,1.3533870967741939
2005-03-31,69.1,4.266666666666667,294957.3333333333,232500.0,12761.337,5.020076,199.5,333.78,0.8486885245901642
2005-06-30,68.6,4.266666666666667,295588.3333333333,233700.0,12910.022,5.011637,200.4333333333333,344.47,0.5126562500000001
2005-09-30,68.8,4.466666666666666,296340.3333333333,236400.0,13142.873,5.00365448,201.1,354.91,0.25718749999999996
2005-12-31,69.0,4.8,297085.6666666667,243600.0,13332.316,4.996716776,202.4333333333333,362.94,0.1236065573770492
2006-03-31,68.5,5.766666666666666,297736.6666666667,247700.0,13603.933,4.987016737,203.69999999999996,368.7,-0.027580645161290326
2006-06-30,68.7,6.266666666666667,298408.0,246300.0,13749.806,4.976734476,205.36666666666667,372.47,0.07476190476190475
2006-09-30,69.0,6.8999999999999995,299180.0,235600.0,13867.469,4.966011158,206.76666666666665,375.53,-0.035555555555555576
